id;nom;statut;references;condition;effet;limite;plafond;compatibilite;contrepartie;manifestation;boss_isole
SYN_066;Résonance amplifiée;CO;"[""JUT_279"", ""STA_09""]";Une cible est Marquée par deux sources différentes.;Elle compte pour 2 marques dans le seuil du Sceau de résonance (JUT_279).;—;—;Minato, Tobirama, Konan, Kushina, Karin (APT_FUIN).;—;Double anneau sur la marque.;Le boss Marqué deux fois rapproche la détonation.
SYN_067;Réveil brutal;CO;"[""STA_11"", ""GENJUTSU""]";Un ennemi endormi (Étourdi par sommeil : JUT_254, JUT_125) reçoit un coup.;Ce premier coup fait ×1,5 (bonus additif +50 %).;1 fois par sommeil.;—;Kabuto, Hashirama, Yamato.;Réveille la cible.;Bulle de sommeil qui éclate, étoile d'impact.;"Inactive ; conversion en Vulnérable."
SYN_068;Barrière alimentée;CO;"[""JUT_268"", ""JUT_278""]";Une barrière de sceaux du joueur efface ou bloque un projectile.;+1 chakra par projectile.;Plafond global de chakra.;—;APT_FUIN.;—;Étincelle bleue qui file vers le portrait.;Utile contre les boss tireurs.
SYN_069;Rasengan éclair;CO;"[""JUT_281"", ""JUT_265""]";Le joueur possède Rasengan et Hiraishin — Kunai de marquage.;Le Rasengan peut partir d'un kunai de marquage à ≤ 3 m de sa cible (portée effective étendue).;1 fois par lancer.;—;Minato (toutes variantes).;—;Éclair jaune puis orbe bleu depuis le kunai.;Rasengan toujours à portée du boss.
SYN_070;Prédiction;CO;"[""DOJ_SHARINGAN"", ""OCULAIRE""]";Une technique OCULAIRE touche un ennemi en train de télégraphier une attaque.;+10 % chance critique sur ce coup et interruption des télégraphes mineurs.;—;—;Porteurs du Sharingan.;—;Tomoe rouge qui clignote au-dessus du télégraphe interrompu.;Critique seulement (télégraphes majeurs non interrompus).
SYN_071;Maîtrise des cinq natures;CO;"[""E_KATON"", ""E_SUITON"", ""E_RAITON"", ""E_FUTON"", ""E_DOTON""]";Le joueur possède au moins une technique de chacune des 5 affinités de base.;+15 % Puissance (additif).;—;—;Kakuzu, Hiruzen (Kakashi : 4 éléments → inactive).;Contraint fortement le build (5 emplacements sur 6).;Pentagramme élémentaire autour du portrait.;Pleinement utile.
SYN_072;Nuages de feu pour Kirin;CO;"[""JUT_054"", ""E_KATON"", ""ZONE""]";Kirin (JUT_054 ou évolutions) est en construction et des zones Katon du joueur sont actives.;Chaque zone Katon active réduit la construction de 1 s.;Réduction max −3 s.;—;Sasuke (toutes variantes).;—;Fumée des zones qui monte vers le nuage (trait visible).;Pleinement utile.
SYN_073;Ultime élémentaire;CO;"[""E_KATON"", ""E_SUITON"", ""E_RAITON"", ""E_FUTON"", ""E_DOTON""]";Un ultime applique un état élémentaire (Brûlure, Trempé, Électrisé…).;Pour cet ultime, ses coups comptent comme coups primaires (profondeur 0) pour les synergies élémentaires, une fois par cible.;1 déclenchement par cible et par ultime.;—;Ultimes élémentaires (ULT_028, ULT_039, ULT_040, ULT_042…).;—;Icônes d'état qui s'allument en séquence.;Pleinement utile.
SYN_074;Sacrifice partagé;CO;"[""SACRIFICE"", ""STA_20""]";Le joueur paie un coût en PV (SACRIFICE) alors qu'une cible porte le Lien maudit.;Le lien est posé sur 1 ennemi supplémentaire (max 3 liés).;1 fois / 5 s.;3 cibles liées.;Hidan.;Le coût en PV n'est pas réduit.;Ligne rouge supplémentaire depuis le cercle rituel.;Inactive (1 seule cible).
SYN_075;Surplus de soin;CO;"[""SOIN"", ""BOUCLIER""]";Un soin dépasse les PV max ou le plafond de soin.;50 % de l'excédent devient bouclier.;Plafond de bouclier (50 % PV max).;—;Tsunade, Sakura, Karin, Hashirama…;Sakura Byakugō : ne cumule pas avec sa réserve (le CPX a priorité).;Contour vert qui devient doré.;Pleinement utile.
SYN_076;Forêt nourricière;CO;"[""SURF_BOIS""]";Le joueur se tient sur une surface BOIS qu'il a créée.;Régénération +0,3 PV/s (dans le plafond de régénération).;—;—;Mokuton (Hashirama, Yamato, Madara Rinnegan, Obito).;Incite à rester dans la forêt (vulnérable aux zones ennemies).;Feuilles lentes autour des pieds.;Pleinement utile.
SYN_077;Éclats de décor;CO;"[""EXPLOSIF""]";Une explosion du joueur détruit un obstacle destructible (caisse, rocher fissuré, arbre mort).;Projection de 6 éclats (10 × A) dans toutes les directions.;1 fois par obstacle.;—;Tous (dépend des cartes).;L'obstacle ne protège plus.;Éclats du matériau de l'obstacle (bois, pierre).;Utile si le boss est près des obstacles.
SYN_078;Surface gelée;CO;"[""E_HYOTON"", ""SURF_EAU"", ""STA_05""]";Une attaque Hyōton touche une surface EAU.;La cellule devient GLACE 4 s : les ennemis y glissent (+20 % vitesse) mais gagnent Refroidi +1 par seconde passée dessus.;1 conversion par cellule / 4 s.;—;Haku.;Interaction négative intentionnelle : les ennemis arrivent plus vite (signalée sur la carte d'amélioration).;Surface blanche-bleue réfléchissante, traces de glissade.;Boss : Refroidi par seconde (ralentissement plafonné).
SYN_079;Tornade électrique;CO;"[""E_FUTON"", ""E_RAITON"", ""JUT_081""]";Une attaque Raiton touche une tornade du joueur (JUT_081, EVO_030, EVO_102).;La tornade devient électrique 3 s : Électrise les ennemis aspirés et gagne +20 % dégâts.;1 fois par tornade.;—;Minato, Hiruzen, Kakuzu, Tobirama (Fūton + Raiton).;—;Tornade parcourue d'arcs bleus.;Pleinement utile si le boss est dans la tornade.
SYN_080;Éveil synchronisé;CO;"[""TRF_001"", ""TRF_003"", ""TRF_009""]";Un ultime est lancé pendant qu'une transformation est active.;Ultime ×1,2 et transformation prolongée de 2 s.;1 fois par activation de transformation.;—;Toute entrée disposant d'une transformation (les références listent des exemples).;Respecte le report de 1 s entre activation et ultime (§B9.3).;L'aura de transformation se colore brièvement de l'élément de l'ultime.;Pleinement utile.
